brand,model,year,engine_volume,mileage,horsepower,price
Nissan,X-Trail,2004,1.4,127,164,234763.79
Skoda,Kodiaq,2005,2.3,96,199,334344.46
Kia,Ceed,2005,2.4,284,174,206907.31
Nissan,X-Trail,2004,1.7,59,266,436027.01
Hyundai,Tucson,2005,2.4,121,329,424815.88
Nissan,Qashqai,2012,2.2,289,108,196492.69
Kia,Sportage,2000,2.5,145,200,334296.73
Mercedes-Benz,C-Class,2000,1.0,12,223,301302.58
Skoda,Octavia,2013,2.1,171,110,246552.98
Audi,A3,2007,2.4,86,191,354666.49
BMW,3 Series,2008,2.5,194,313,376930.58
Kia,Sportage,2022,2.4,67,314,511449.57
Nissan,X-Trail,2009,1.4,172,213,296121.06
Ford,Kuga,2005,2.7,30,255,410339.87
Nissan,Leaf,2008,2.4,74,104,248075.89
BMW,5 Series,2017,2.0,75,280,479762.16
Mercedes-Benz,GLC,2014,2.0,291,102,165608.15
Kia,Rio,2003,2.9,184,228,313159.37
Mercedes-Benz,E-Class,2001,2.4,174,261,321297.77
BMW,3 Series,2005,2.1,91,232,389518.45
Skoda,Octavia,2016,1.6,155,321,490837.62
BMW,5 Series,2006,1.9,213,108,177029.68
Nissan,Qashqai,2022,1.6,173,200,334211.33
Mercedes-Benz,GLC,2022,1.1,113,165,385330.37
Skoda,Octavia,2019,2.1,139,210,385470.28
Hyundai,Santa Fe,2014,1.1,93,339,509069.72
Audi,A4,2020,1.7,129,238,378155.82
Nissan,X-Trail,2001,1.8,268,344,352844.43
Nissan,Leaf,2020,1.3,113,168,354668.75
Volkswagen,Golf,2011,2.5,43,130,327928.82
Volkswagen,Tiguan,2009,1.9,183,286,389293.9
Mercedes-Benz,E-Class,2016,1.0,241,146,228951.08
Audi,Q5,2017,2.4,194,277,447120.73
Kia,Rio,2015,2.9,27,114,310138.75
Toyota,RAV4,2009,2.1,240,271,348961.95
Nissan,Leaf,2007,2.3,144,279,381945.08
Volkswagen,Golf,2020,2.2,54,204,412951.19
Kia,Sportage,2021,2.3,121,91,284530.53
Volkswagen,Tiguan,2012,1.7,92,129,285888.74
Mercedes-Benz,GLC,2015,1.6,48,128,349327.55
Audi,A3,2007,1.5,263,300,331624.22
Skoda,Kodiaq,2011,2.1,154,252,388670.69
Audi,A4,2016,2.3,60,170,390942.93
Volkswagen,Golf,2015,2.3,76,183,351547.42
Toyota,RAV4,2008,1.8,33,111,267817.34
Ford,Mondeo,2018,1.9,131,98,245682.5
Audi,A3,2016,1.9,58,346,491838.43
BMW,3 Series,2007,1.7,158,166,295398.65
Toyota,RAV4,2011,1.0,194,260,345025.43
Skoda,Octavia,2008,1.9,259,107,122284.36
BMW,X5,2005,1.9,154,276,366340.08
Ford,Focus,2009,2.0,252,263,361790.16
Kia,Sportage,2008,1.7,158,209,304792.83
Kia,Sportage,2003,2.1,77,326,502724.34
Toyota,RAV4,2010,3.4,233,294,393677.32
Hyundai,Tucson,2020,2.4,219,97,184293.04
Hyundai,Elantra,2021,1.8,201,259,329520.05
Volkswagen,Golf,2005,1.9,133,314,477975.1
BMW,5 Series,2017,1.9,293,118,164972.82
Nissan,Qashqai,2003,2.1,59,273,404788.92
Ford,Focus,2011,2.0,192,184,283171.15
Volkswagen,Golf,2008,1.8,256,89,152243.33
Hyundai,Tucson,2014,1.7,97,154,281711.65
Kia,Sportage,2022,2.3,147,322,517456.02
Kia,Ceed,2008,1.9,47,121,292187.65
Ford,Focus,2005,2.3,58,217,404675.3
BMW,5 Series,2010,1.9,81,255,357905.71
Ford,Kuga,2006,1.1,267,242,285697.83
Kia,Sportage,2013,1.5,53,183,360567.31
Kia,Ceed,2015,1.2,125,71,201773.48
Hyundai,Tucson,2014,2.1,158,103,219909.44
Skoda,Superb,2019,1.2,288,230,254789.44
Nissan,Qashqai,2008,1.8,297,239,241298.83
Ford,Mondeo,2018,1.8,227,163,296975.07
Toyota,Camry,2011,1.9,80,317,482384.3
BMW,3 Series,2010,2.4,170,77,189994.34
Kia,Rio,2007,2.5,282,179,227513.63
BMW,3 Series,2002,1.6,136,101,221531.3
Hyundai,Elantra,2018,2.0,179,120,273981.92
Nissan,Qashqai,2002,1.8,26,237,370599.49
BMW,5 Series,2002,2.2,248,135,149961.14
BMW,3 Series,2005,2.0,185,100,196759.7
Kia,Sportage,2010,2.2,219,81,201329.65
Nissan,X-Trail,2019,1.4,66,92,286253.1
Ford,Kuga,2013,2.1,198,230,378501.08
BMW,3 Series,2001,1.3,53,333,456222.03
Nissan,X-Trail,2011,1.6,131,259,390623.93
Nissan,Leaf,2015,2.1,42,310,499590.38
Volkswagen,Golf,2002,1.0,37,149,300558.59
Audi,A3,2020,1.0,160,340,447152.96
Volkswagen,Golf,2015,1.4,72,173,339857.83
Toyota,Camry,2009,1.5,16,147,362182.26
Hyundai,Elantra,2019,1.6,120,81,216773.87
Audi,A3,2004,1.7,139,180,231209.61
Nissan,Qashqai,2012,2.2,141,329,476630.27
Toyota,Corolla,2011,3.0,17,265,530520.6
Skoda,Octavia,2000,1.7,38,253,375997.91
Nissan,X-Trail,2019,2.2,15,215,465417.8
Ford,Focus,2010,2.6,121,244,390849.88
Audi,Q5,2018,2.5,114,269,416440.29
Skoda,Octavia,2014,1.6,216,257,365215.6
Kia,Sportage,2017,2.4,49,175,338930.51
Mercedes-Benz,E-Class,2015,2.6,277,142,263531.95
Kia,Rio,2006,2.8,55,341,515272.82
Audi,Q5,2009,2.8,250,283,323339.42
Audi,Q5,2015,1.4,279,255,359849.16
Ford,Kuga,2016,2.1,164,209,363434.93
Skoda,Superb,2006,1.7,125,236,358401.22
Hyundai,Santa Fe,2010,1.3,46,212,392206.4
Hyundai,Santa Fe,2016,2.2,214,141,189541.52
Ford,Mondeo,2004,2.1,258,216,250387.58
Toyota,RAV4,2000,2.1,119,170,340226.87
Hyundai,Santa Fe,2002,1.8,89,154,279740.88
Hyundai,Elantra,2015,3.2,85,212,387486.84
Audi,Q5,2014,2.8,279,264,351722.96
Hyundai,Tucson,2003,1.8,107,253,342037.81
Skoda,Superb,2011,2.0,85,136,330939.82
Skoda,Kodiaq,2000,2.2,291,291,303339.6
Mercedes-Benz,E-Class,2016,2.5,90,331,469534.26
Hyundai,Elantra,2014,2.2,72,91,270254.75
BMW,3 Series,2019,2.1,276,235,345935.93
Ford,Kuga,2019,1.3,42,171,375379.21
BMW,X5,2009,3.0,49,179,331539.25
Ford,Kuga,2010,1.7,183,248,321777.21
Mercedes-Benz,GLC,2017,2.5,269,236,274306.06
Ford,Mondeo,2001,2.0,233,203,272341.66
BMW,3 Series,2005,2.6,232,99,186752.57
Kia,Sportage,2015,1.3,276,155,227148.44
Audi,A4,2006,1.7,164,78,162123.13
Ford,Focus,2022,1.9,273,205,249940.66
Ford,Kuga,2018,1.5,158,205,315018.94
Kia,Rio,2011,1.7,234,209,311728.91
Toyota,Corolla,2017,2.6,136,112,281288.52
BMW,3 Series,2009,2.3,14,174,321780.85
Skoda,Octavia,2006,2.7,297,100,141665.67
Toyota,RAV4,2003,2.0,67,239,393650.15
Toyota,Camry,2016,1.9,81,230,397982.89
Audi,Q5,2016,1.3,164,344,425531.39
Mercedes-Benz,GLC,2003,2.5,291,322,348345.83
Toyota,Corolla,2020,1.9,177,288,404220.44
Mercedes-Benz,GLC,2004,2.1,38,182,342838.34
Volkswagen,Tiguan,2000,1.7,91,289,409527.68
BMW,3 Series,2018,3.4,272,252,346606.02
Audi,Q5,2021,2.1,115,329,517650.5
BMW,X5,2022,1.6,286,81,201859.9
Toyota,Camry,2010,1.4,19,315,566379.27
Kia,Ceed,2000,2.3,71,319,431208.96
Ford,Focus,2007,1.6,233,127,190374.31
Nissan,Leaf,2003,1.8,145,70,122159.4
Ford,Mondeo,2021,1.2,233,272,355571.13
Volkswagen,Golf,2014,2.0,123,113,290469.04
Audi,A4,2016,2.0,269,164,185775.98
Ford,Focus,2017,2.9,166,78,218570.08
Skoda,Kodiaq,2002,1.7,238,331,376112.8
Mercedes-Benz,E-Class,2017,1.0,109,322,424433.24
Nissan,Qashqai,2006,1.9,264,165,223410.0
Skoda,Kodiaq,2016,2.7,188,199,338353.91
Nissan,Qashqai,2017,2.3,284,105,169700.72
BMW,5 Series,2019,2.5,238,174,303219.61
Volkswagen,Golf,2007,2.2,40,268,417241.07
Audi,A4,2010,1.8,117,99,242895.24
Audi,A4,2002,1.4,291,162,175601.2
Mercedes-Benz,E-Class,2006,1.5,118,305,424865.75
Mercedes-Benz,C-Class,2014,1.7,38,264,439882.46
BMW,5 Series,2009,2.3,26,325,476300.09
Audi,A3,2011,2.0,179,100,173551.12
Skoda,Octavia,2011,1.1,184,94,162751.72
Mercedes-Benz,GLC,2018,2.2,83,70,237864.72
Mercedes-Benz,GLC,2018,2.6,249,187,300303.12
Nissan,Qashqai,2014,1.2,105,234,371693.27
Skoda,Octavia,2020,2.3,11,182,396057.56
Mercedes-Benz,E-Class,2020,1.0,211,264,313490.57
Mercedes-Benz,C-Class,2004,1.6,46,209,337611.95
Ford,Kuga,2012,1.4,100,89,199016.79
Kia,Rio,2008,2.3,242,300,417633.31
Nissan,Leaf,2021,2.8,156,148,315836.02
Audi,A4,2022,2.5,262,197,346139.71
Toyota,Corolla,2009,2.5,221,154,247425.07
Nissan,X-Trail,2007,1.5,73,133,319126.52
Audi,A3,2008,2.3,14,343,538886.67
Ford,Mondeo,2005,2.1,155,322,435340.83
Nissan,Qashqai,2017,1.4,81,163,375178.49
BMW,3 Series,2009,2.5,114,219,346218.22
BMW,3 Series,2014,2.2,45,226,397874.62
Volkswagen,Golf,2012,1.9,156,285,409121.24
Audi,A4,2010,2.4,265,329,472441.25
Ford,Mondeo,2001,2.1,237,169,211066.87
Skoda,Kodiaq,2007,2.6,288,191,252720.21
Audi,A3,2017,2.9,122,201,396591.31
Kia,Rio,2002,1.9,20,74,272974.17
Volkswagen,Golf,2022,1.9,203,302,451928.44
Mercedes-Benz,E-Class,2002,1.8,233,236,323724.16
Nissan,X-Trail,2020,2.0,259,126,240588.63
Skoda,Kodiaq,2006,2.7,258,100,170800.92
Audi,A3,2017,1.5,278,76,116052.51
Nissan,Qashqai,2020,1.3,92,81,233065.84
Volkswagen,Tiguan,2020,2.1,38,79,277914.51
BMW,5 Series,2008,2.0,89,226,377747.77
Volkswagen,Tiguan,2017,2.1,104,282,461202.15
Toyota,RAV4,2000,1.0,268,210,268875.61
Mercedes-Benz,E-Class,2003,2.8,131,196,268629.43
Toyota,Corolla,2003,2.1,133,267,375252.29
Volkswagen,Passat,2016,3.2,32,206,474745.62
Skoda,Superb,2022,2.2,225,248,336031.78
Kia,Sportage,2001,1.8,298,157,154382.74
Hyundai,Elantra,2014,2.1,101,336,506158.83
Kia,Sportage,2012,2.7,33,233,453247.52
Audi,A3,2008,1.6,116,318,406410.68
Kia,Sportage,2006,2.3,61,70,267180.63
Toyota,Corolla,2011,2.2,208,346,458443.6
Hyundai,Santa Fe,2011,2.3,65,241,377634.58
Kia,Sportage,2013,1.5,203,331,452342.82
Toyota,Corolla,2022,2.3,54,211,446594.56
Ford,Mondeo,2014,2.3,248,162,250949.16
Kia,Rio,2000,2.8,241,198,247032.24
Audi,Q5,2008,2.9,248,205,258793.55
Mercedes-Benz,E-Class,2015,2.2,145,180,311264.09
Ford,Mondeo,2008,2.1,294,113,182756.69
Volkswagen,Golf,2015,1.5,22,280,426057.85
Ford,Mondeo,2001,1.9,38,316,442149.79
Skoda,Octavia,2009,1.8,187,301,402755.86
Skoda,Octavia,2017,2.5,266,239,349747.51
Volkswagen,Passat,2012,2.2,117,303,466254.0
Nissan,X-Trail,2001,1.5,78,77,176454.93
Audi,Q5,2012,1.6,185,169,266918.22
Toyota,RAV4,2002,3.3,192,322,411498.54
Volkswagen,Passat,2014,1.8,251,257,341205.9
Kia,Ceed,2002,2.3,203,192,281978.86
BMW,X5,2022,2.0,31,201,412171.25
Hyundai,Santa Fe,2009,1.9,20,305,487888.72
Ford,Focus,2005,2.6,294,290,334999.16
Nissan,Leaf,2022,1.8,268,131,184675.45
Audi,Q5,2021,1.8,182,247,412346.11
BMW,5 Series,2013,2.7,214,289,425891.03
Ford,Focus,2008,1.8,257,240,251489.59
Volkswagen,Passat,2017,1.3,268,151,271670.29
Toyota,RAV4,2007,1.4,279,83,127773.56
Kia,Rio,2005,2.3,90,339,493663.67
Toyota,Corolla,2014,1.6,197,123,210954.13
Ford,Focus,2013,2.6,240,200,299105.02
Skoda,Superb,2014,2.0,37,167,369156.94
Hyundai,Tucson,2019,2.4,12,270,539537.01
Audi,A4,2005,2.2,246,330,363620.94
Ford,Mondeo,2021,2.5,190,290,461090.29
Hyundai,Elantra,2011,2.9,13,74,272980.2
Ford,Kuga,2009,2.3,81,186,379007.35
Mercedes-Benz,GLC,2018,2.3,191,261,354192.08
Mercedes-Benz,C-Class,2007,2.6,113,185,324593.59
Volkswagen,Tiguan,2004,1.7,281,305,283717.32
BMW,5 Series,2009,2.3,296,120,153523.48
Nissan,X-Trail,2010,1.5,96,82,207055.53
Kia,Sportage,2019,1.6,82,287,470889.5
Kia,Sportage,2013,1.8,100,137,247762.19
Volkswagen,Golf,2013,2.6,182,300,466420.53
Ford,Focus,2001,1.9,196,161,274750.87
BMW,3 Series,2016,1.6,245,173,259357.0
Hyundai,Santa Fe,2014,2.4,171,147,243467.77
Nissan,Leaf,2022,1.2,82,171,309495.15
BMW,X5,2002,1.1,234,330,368431.35
Kia,Ceed,2002,1.9,239,295,324692.98
Toyota,Corolla,2002,1.9,263,244,313422.35
BMW,5 Series,2002,2.5,171,157,244005.91
BMW,5 Series,2017,2.6,259,187,296800.19
Nissan,X-Trail,2005,1.9,208,349,421542.2
Kia,Rio,2013,1.9,249,210,274020.25
Hyundai,Elantra,2002,1.6,246,182,203006.8
Kia,Sportage,2000,1.9,85,318,409768.45
Toyota,Camry,2009,1.0,54,158,293577.4
Nissan,X-Trail,2012,1.8,188,289,393709.67
Skoda,Kodiaq,2008,2.0,231,120,199228.61
BMW,5 Series,2021,1.6,26,244,451789.64
Hyundai,Tucson,2021,1.7,228,278,381083.72
BMW,X5,2001,1.9,93,186,258596.97
BMW,5 Series,2009,2.0,200,155,276078.6
Audi,Q5,2011,2.4,141,204,301148.83
Ford,Mondeo,2018,2.2,296,335,422630.59
Toyota,Camry,2002,2.4,103,289,447387.98
Kia,Sportage,2018,2.3,104,255,457929.57
Skoda,Octavia,2000,2.1,193,232,322483.76
Volkswagen,Golf,2014,3.1,141,196,356363.03
Ford,Kuga,2022,1.6,91,186,340919.46
BMW,5 Series,2012,1.5,121,206,301548.85
Ford,Mondeo,2006,1.9,60,325,476902.77
Hyundai,Tucson,2001,2.0,198,333,385014.65
Hyundai,Santa Fe,2021,2.1,217,291,399684.55
Toyota,Corolla,2019,1.5,158,219,369289.24
BMW,5 Series,2010,3.0,274,305,378490.6
BMW,3 Series,2022,1.8,290,237,300216.14
Toyota,Camry,2015,1.5,122,138,351666.42
Toyota,Camry,2013,2.1,45,278,453085.18
Hyundai,Tucson,2022,2.5,120,121,321506.04
Toyota,RAV4,2014,2.8,180,336,486349.68
Skoda,Octavia,2019,1.0,87,219,367074.43
Volkswagen,Passat,2018,2.4,37,82,273240.74
Mercedes-Benz,C-Class,2006,2.9,54,169,302188.01
Ford,Focus,2008,1.7,151,242,355619.73
Kia,Sportage,2003,1.9,24,306,466888.73
Nissan,X-Trail,2005,1.5,137,144,215194.53
Toyota,Camry,2022,1.7,176,319,487712.0
Ford,Kuga,2009,1.5,162,147,263618.7
Kia,Ceed,2002,2.5,72,347,492502.46
Ford,Focus,2020,1.9,68,311,490776.26
Mercedes-Benz,C-Class,2000,1.0,212,285,318647.79
Volkswagen,Passat,2005,1.7,166,289,350458.24
BMW,X5,2004,1.7,12,90,239860.09
Kia,Ceed,2022,2.4,48,161,394082.15
Audi,Q5,2014,2.0,287,169,228461.31
BMW,3 Series,2010,2.0,110,335,528537.65
Toyota,RAV4,2019,2.3,178,237,360983.28
Audi,A3,2012,2.5,29,127,321351.84
Mercedes-Benz,E-Class,2005,2.1,150,158,277020.35
Volkswagen,Tiguan,2004,1.7,284,242,286548.38
Mercedes-Benz,E-Class,2001,1.2,202,214,258697.28
Audi,Q5,2016,2.7,161,190,318896.13
Skoda,Kodiaq,2011,3.7,245,314,416114.54
Kia,Sportage,2011,2.1,217,335,437299.99
Hyundai,Elantra,2021,2.2,46,131,333403.44
Ford,Kuga,2013,2.8,87,158,395321.88
BMW,5 Series,2006,1.1,181,141,208338.75
Toyota,Camry,2021,2.5,54,239,456215.01
Toyota,Corolla,2013,2.2,93,242,404539.8
Toyota,RAV4,2006,1.6,102,145,263720.2
Nissan,X-Trail,2008,1.7,163,227,350423.97
Ford,Mondeo,2013,1.3,115,282,389215.16
Volkswagen,Passat,2020,2.6,218,78,265189.5
Nissan,Leaf,2016,1.5,213,72,151551.08
BMW,X5,2016,2.2,257,239,339405.96
Toyota,Camry,2020,1.2,235,216,312790.44
Skoda,Octavia,2012,2.7,57,75,261000.32
Audi,Q5,2017,1.9,255,240,359530.28
Skoda,Kodiaq,2018,2.5,40,149,406651.07
BMW,5 Series,2016,1.9,192,293,388503.81
Ford,Kuga,2005,1.7,266,112,134000.7
Hyundai,Santa Fe,2011,1.3,135,314,444054.4
Hyundai,Santa Fe,2005,2.5,228,119,193792.36
Mercedes-Benz,GLC,2002,1.8,254,199,226550.62
Ford,Mondeo,2014,2.1,148,321,448924.4
Kia,Sportage,2002,1.6,236,234,266529.58
BMW,3 Series,2022,2.0,266,170,240000.75
Ford,Focus,2014,2.1,264,344,427807.23
BMW,5 Series,2000,1.1,79,138,246811.74
BMW,5 Series,2020,1.7,75,113,283172.42
BMW,3 Series,2002,2.8,11,219,352913.16
Mercedes-Benz,GLC,2004,1.6,278,204,225702.89
Audi,A4,2013,2.5,138,287,480995.74
Volkswagen,Passat,2003,2.2,155,217,309166.63
Volkswagen,Tiguan,2021,2.3,122,195,360454.78
Kia,Ceed,2008,2.3,297,318,352424.49
Audi,Q5,2017,2.0,105,123,301983.75
Kia,Ceed,2009,1.7,276,292,366845.89
Hyundai,Santa Fe,2007,1.6,17,278,431109.57
Skoda,Octavia,2012,1.8,229,213,257883.65
Nissan,Leaf,2001,2.6,222,207,267480.15
Mercedes-Benz,E-Class,2019,1.3,111,294,433377.12
Toyota,Camry,2019,1.8,175,171,296286.28
Ford,Kuga,2006,1.2,271,168,229348.8
Toyota,Corolla,2010,1.7,11,160,317912.9
Kia,Sportage,2004,1.9,211,273,353049.88
Nissan,Qashqai,2017,2.7,192,307,451713.32
BMW,5 Series,2007,2.8,268,166,246599.03
Kia,Rio,2009,1.1,237,190,262889.18
Audi,Q5,2001,1.2,209,186,186280.83
BMW,5 Series,2002,1.9,35,135,301619.77
Volkswagen,Golf,2022,2.4,111,200,383246.18
Ford,Kuga,2004,1.2,145,336,407253.54
Ford,Mondeo,2015,1.8,206,161,305333.58
Audi,A4,2009,2.5,39,146,350821.67
Kia,Ceed,2010,2.6,142,307,422734.67
Nissan,X-Trail,2018,1.8,265,321,391590.22
Kia,Sportage,2015,1.0,29,296,498495.26
Mercedes-Benz,E-Class,2011,2.5,30,210,402233.46
Nissan,Qashqai,2001,1.5,50,123,223568.76
Audi,A4,2010,2.3,161,209,373431.08
Nissan,Leaf,2021,1.6,11,215,423361.09
Kia,Ceed,2000,2.1,53,343,484258.91
Mercedes-Benz,GLC,2004,2.2,50,214,381479.45
Volkswagen,Passat,2020,2.6,272,236,316094.64
BMW,5 Series,2013,1.3,182,155,286419.78
Audi,A3,2017,1.6,18,210,385796.66
Hyundai,Tucson,2006,2.8,62,114,288006.33
Skoda,Superb,2004,2.1,293,197,216337.1
Kia,Ceed,2007,1.6,137,186,322128.72
BMW,3 Series,2020,2.4,28,216,449196.09
Kia,Ceed,2014,1.5,141,216,338053.2
Ford,Mondeo,2004,2.1,22,90,219221.1
Nissan,Leaf,2012,1.7,229,93,182942.45
Kia,Ceed,2018,2.6,276,227,323629.28
Skoda,Kodiaq,2001,1.6,254,117,111410.47
Skoda,Octavia,2004,1.0,267,179,207610.17
Kia,Ceed,2004,1.8,149,128,242966.01
BMW,3 Series,2005,1.7,256,86,133615.13
Audi,A4,2015,1.9,241,124,199064.9
Volkswagen,Golf,2001,2.3,65,206,381821.74
Mercedes-Benz,E-Class,2004,1.4,97,146,308136.42
Toyota,RAV4,2014,1.6,263,339,378670.3
Hyundai,Tucson,2000,2.0,61,249,409252.78
Nissan,X-Trail,2018,1.7,256,154,249699.27
Nissan,X-Trail,2002,2.0,261,208,233257.16
Hyundai,Tucson,2018,2.3,134,239,391702.6
Mercedes-Benz,E-Class,2014,2.0,210,311,408831.08
Hyundai,Tucson,2002,2.6,141,133,271757.83
BMW,X5,2007,1.5,186,309,380903.37
Toyota,RAV4,2014,1.7,61,164,288722.32
Audi,Q5,2000,2.7,43,215,367166.58
Nissan,Qashqai,2005,1.6,31,118,297912.95
Audi,A3,2021,3.2,150,214,420672.2
Toyota,Corolla,2016,2.5,280,328,400701.88
Skoda,Superb,2015,1.6,177,228,353410.16
Ford,Mondeo,2012,2.3,47,286,499636.0
BMW,X5,2000,2.1,255,86,141835.1
Nissan,Qashqai,2002,1.3,244,150,236631.19
Nissan,X-Trail,2005,2.8,64,253,451825.41
Toyota,Camry,2019,2.4,129,140,294729.66
BMW,3 Series,2020,2.7,75,159,358011.49
BMW,5 Series,2002,2.5,175,266,401932.05
Ford,Kuga,2014,2.2,219,199,271210.81
Skoda,Octavia,2014,2.5,84,149,322301.44
Hyundai,Tucson,2010,1.3,143,272,429069.46
Nissan,X-Trail,2021,3.0,274,300,461772.79
Volkswagen,Tiguan,2005,2.4,183,156,259858.29
Mercedes-Benz,GLC,2005,1.0,252,296,288336.32
Skoda,Octavia,2008,1.3,98,75,192068.15
Toyota,Camry,2013,2.1,259,294,388574.71
Volkswagen,Golf,2010,1.6,40,215,362189.19
Audi,A4,2005,2.3,286,124,225625.53
Skoda,Superb,2017,1.5,47,136,312617.24
Nissan,Leaf,2019,1.4,147,254,423749.27
Mercedes-Benz,GLC,2014,1.7,85,216,371486.83
Skoda,Kodiaq,2021,3.6,262,143,279771.57
Toyota,Camry,2008,1.5,88,208,342949.8
Volkswagen,Tiguan,2010,2.6,47,293,462429.62
Skoda,Octavia,2001,1.6,172,301,364980.86
Ford,Focus,2005,2.0,137,252,381017.64
Kia,Ceed,2022,2.1,167,165,309210.96
Skoda,Octavia,2013,2.0,92,317,463995.68
Ford,Focus,2013,2.0,226,201,307345.36
Ford,Mondeo,2012,2.2,211,82,219737.64
Kia,Rio,2004,1.3,287,139,201362.72
Skoda,Superb,2008,1.9,161,325,406626.58
Skoda,Kodiaq,2010,2.0,35,257,415079.86
Audi,A4,2006,2.3,263,158,247930.34
BMW,3 Series,2001,1.9,260,223,246645.53
Audi,A4,2011,2.3,176,219,329067.02
Toyota,Camry,2004,1.7,149,201,263801.32
Hyundai,Santa Fe,2001,1.7,238,213,273939.71
Nissan,Qashqai,2013,2.2,82,316,482252.32
Toyota,Corolla,2006,1.5,245,132,209045.64
Mercedes-Benz,C-Class,2004,1.7,204,239,328105.13
Hyundai,Santa Fe,2003,1.8,97,305,452814.25
Kia,Ceed,2009,1.8,106,192,353614.89
Toyota,RAV4,2015,2.0,175,339,451832.56
BMW,3 Series,2005,1.6,212,77,142663.13
Toyota,Corolla,2020,2.3,196,287,425111.91
Toyota,RAV4,2005,1.9,284,243,281692.47
Audi,A3,2008,2.2,29,195,390681.75
Toyota,Camry,2000,1.4,82,118,218466.97
BMW,X5,2015,1.0,91,305,457379.4
Audi,A3,2016,2.5,36,325,515577.23
Audi,A3,2012,2.1,150,185,319342.98
Toyota,Camry,2005,2.3,56,348,515173.63
Audi,Q5,2001,2.7,121,154,246047.02
Audi,A3,2007,1.5,244,189,251852.38
Ford,Mondeo,2022,1.1,160,119,286128.89
Skoda,Superb,2021,2.5,135,233,430160.13
Skoda,Superb,2003,2.3,16,217,359517.48
Volkswagen,Golf,2008,2.6,59,112,251899.57
Toyota,RAV4,2022,2.8,75,205,427637.96
Skoda,Kodiaq,2006,1.4,176,315,401802.19
Hyundai,Elantra,2020,2.5,261,287,387710.18
Audi,Q5,2000,1.9,272,303,267744.69
Ford,Mondeo,2013,2.5,205,332,417838.33
BMW,3 Series,2001,2.9,192,184,306268.67
Skoda,Superb,2007,2.0,273,258,318027.36
Ford,Mondeo,2010,1.6,297,266,354190.15
Toyota,Corolla,2004,1.3,284,107,149690.23
Audi,A4,2017,1.0,127,81,221744.35
Nissan,Leaf,2011,2.7,286,193,222797.45
Mercedes-Benz,GLC,2020,2.8,141,113,291885.73
Mercedes-Benz,C-Class,2019,2.5,156,83,234748.27
Ford,Focus,2018,1.8,38,121,288843.32
Volkswagen,Tiguan,2004,2.4,234,314,414420.21
Audi,Q5,2006,2.2,148,249,363548.73
Toyota,Corolla,2001,1.4,298,199,216398.09
Toyota,RAV4,2016,2.6,290,169,228314.84
Mercedes-Benz,E-Class,2012,2.3,35,180,378549.22
Nissan,X-Trail,2010,2.4,276,161,221962.69
Volkswagen,Passat,2004,2.2,295,145,235571.52
Skoda,Kodiaq,2012,2.1,106,274,410208.14
Nissan,Qashqai,2022,2.2,147,91,235080.79
Skoda,Superb,2012,1.9,290,239,299393.15
Ford,Kuga,2007,2.3,105,226,359813.31
Nissan,X-Trail,2010,3.0,66,291,478964.99
Hyundai,Santa Fe,2007,2.2,132,137,302057.03
Kia,Ceed,2009,2.6,240,230,289593.56
Audi,A3,2010,1.4,299,243,279326.57
Ford,Mondeo,2000,2.4,95,107,216867.79
Kia,Rio,2006,2.3,60,95,237341.33
Toyota,Corolla,2007,2.5,237,323,397059.24
Skoda,Kodiaq,2005,1.8,15,316,484762.13
Kia,Ceed,2013,2.5,282,80,197505.59
Ford,Mondeo,2019,1.6,11,307,502414.37
Hyundai,Elantra,2006,2.6,285,176,222312.17
Audi,Q5,2002,2.6,100,70,156479.34
BMW,X5,2001,1.4,271,80,111881.99
Mercedes-Benz,E-Class,2021,2.2,251,227,336547.17
Audi,A4,2017,1.9,255,157,258373.04
Audi,A3,2021,2.2,88,311,505031.94
Skoda,Superb,2002,2.0,67,201,293197.33
Hyundai,Santa Fe,2013,1.9,234,155,283385.65
Ford,Focus,2017,1.7,211,179,291056.54
BMW,5 Series,2012,2.7,15,180,396772.16
Mercedes-Benz,E-Class,2007,1.6,39,277,479502.93
BMW,3 Series,2003,1.7,160,143,218795.08
Volkswagen,Golf,2014,1.4,45,318,455879.39
Nissan,Qashqai,2011,2.4,119,177,296297.6
Volkswagen,Passat,2013,2.5,130,73,221179.38
Nissan,X-Trail,2019,2.2,250,284,382150.39
Kia,Ceed,2006,1.6,268,248,329652.18
Ford,Focus,2011,1.1,99,224,364248.31
Volkswagen,Golf,2008,2.3,39,294,433137.8
Toyota,Corolla,2009,2.4,246,174,233971.8
BMW,5 Series,2007,1.7,179,153,228622.8
Hyundai,Tucson,2019,2.0,158,146,282353.52
Skoda,Kodiaq,2001,1.2,97,272,357983.66
Ford,Kuga,2015,1.6,13,310,475058.15
Ford,Mondeo,2020,2.2,261,264,366228.31
Ford,Mondeo,2022,1.9,60,274,461540.95
Toyota,Corolla,2017,2.1,33,283,452966.84
Hyundai,Tucson,2019,2.6,55,88,334604.94
Nissan,Qashqai,2021,1.4,125,228,379899.31
Hyundai,Santa Fe,2009,2.1,36,281,506753.82
Toyota,Camry,2005,1.7,104,122,272164.62
Hyundai,Elantra,2005,1.9,108,157,269470.52
Ford,Kuga,2021,2.1,125,229,442651.36
Ford,Focus,2019,1.4,285,78,173138.89
Volkswagen,Tiguan,2012,1.7,104,248,376568.17
Toyota,Camry,2018,1.8,208,152,255127.88
